Account,total_pnl,avg_daily_pnl,pnl_volatility,avg_win_rate,active_days,total_trades,avg_cross_share,trades_per_active_day,leverage_segment,frequency_segment,consistency_segment,cluster,archetype
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,7032.163451888889,15642.867721081608,0.8688811188811189,18,3052,0.7683462532299742,169.55555555555554,High cross-margin use,Frequent trader,Consistent winner,0,High-Leverage Risk-Takers
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,1660.982425875,2678.372530919574,0.9719059123267462,64,15605,0.142236944073706,243.828125,Low cross-margin use,Frequent trader,Consistent winner,1,Steady Low-Frequency Traders
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,1968.8238992432432,7523.577871362993,0.6666666666666666,37,417,0.6883489464289343,11.27027027027027,Low cross-margin use,Infrequent trader,Inconsistent,0,High-Leverage Risk-Takers
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,4523.0413020666665,8542.12051178745,1.0,15,563,1.0,37.53333333333333,High cross-margin use,Infrequent trader,Consistent winner,0,High-Leverage Risk-Takers
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,1087.94158765,2029.2695425579957,0.8783542039355994,20,534,0.2246670347365999,26.7,Low cross-margin use,Infrequent trader,Consistent winner,1,Steady Low-Frequency Traders
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,8372.588272222656,39920.90858902897,0.7997419813230227,256,14733,0.8336048103211366,57.55078125,High cross-margin use,Infrequent trader,Inconsistent,0,High-Leverage Risk-Takers
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,642.5285948857144,12369.710508123975,0.85729441806591,35,4838,0.9546860699966784,138.22857142857143,High cross-margin use,Frequent trader,Inconsistent,0,High-Leverage Risk-Takers
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,33577.27879357143,74757.66101524414,0.9498331633731828,28,21192,0.4718639180010959,756.8571428571429,Low cross-margin use,Frequent trader,Consistent winner,2,High-Frequency Scalpers
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,3291.32928138806,30273.449507840574,0.5507125944842794,67,2641,0.3000215656410058,39.4179104477612,Low cross-margin use,Infrequent trader,Inconsistent,1,Steady Low-Frequency Traders
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,6382.294298297709,25629.432631190368,0.8055407335868281,131,40184,0.7396230485075866,306.7480916030534,High cross-margin use,Frequent trader,Inconsistent,0,High-Leverage Risk-Takers
